sira_no,unvan,adi_soyadi,yili,alan,calistigi_kurum
21,Dr. Öğr. Üyesi,Ayşe KOCA ÇAYDAŞI,2017,Moleküler Biyoloji ve Genetik,Koç Üniversitesi
22,Prof. Dr.,Sermet KOYUNCU,2017,Kimya,Çanakkale 18 Mart Üniversitesi
23,Doç. Dr.,Can KÜÇÜK,2017,Biyotıp ve Genom,Dokuz Eylül Üniversitesi
24,Doç. Dr.,Alptekin KÜPÇÜ,2017,Bilgisayar Mühendisliği,Koç Üniversitesi
25,Doç. Dr.,Gülistan MEŞE ÖZÇİVİCİ,2017,Moleküler Biyoloji ve Genetik,İzmir Yüksek Teknoloji Enstitüsü
26,Doç. Dr.,Evren MUTLUGÜN,2017,Elektrik Elektronik Mühendisliği,Abdullah Gül Üniversitesi
27,Dr. Öğr. Üyesi,Yavuz OKTAY,2017,Biyoloji,Dokuz Eylül Üniversitesi
28,Prof. Dr.,Engin ÖZÇİVİCİ,2017,Biyomühendislik,İzmir Yüksek Teknoloji Enstitüsü
29,Doç. Dr.,Saffet ÖZTÜRK,2017,Histoloji ve Embroiyoloji,Akdeniz Üniversitesi
30,Prof. Dr.,Elif SERTEL,2017,Geomatik Mühendisliği,İstanbul Teknik Üniversitesi
31,Prof. Dr.,Hasan ŞAHİN,2017,Fotonik,İzmir Yüksek Teknoloji Enstitüsü
32,Doç. Dr.,Şerif ŞENTÜRK,2017,Biyotıp ve Genom,Dokuz Eylül Üniversitesi
33,Prof. Dr.,Mehmet Atilla TAŞDELEN,2017,Polimer Malzeme Mühendisliği,Yalova Üniversitesi
34,Doç. Dr.,Mehmet Emre TAŞGIN,2017,Fizik Mühendisliği,Hacettepe Üniversitesi
35,Doç. Dr.,Hacer TOPAKTAŞ ÜSTÜNER,2017,Tarih,İstanbul Üniversitesi
36,Prof. Dr.,Lokman UZUN,2017,Biyokimya,Hacettepe Üniversitesi
37,Dr. Öğr. Üyesi,Selçuk YERCİ,2017,Elektrik Elektronik Mühendisliği,Orta Doğu Teknik Üniversitesi
38,Dr. Öğr. Üyesi,Yıldıray YILDIZ,2017,Makine Mühendisliği,Bilkent Üniversitesi
39,Prof. Dr.,Çetin YILMAZ,2017,Makine Mühendisliği,Boğaziçi Üniversitesi
1,Doç. Dr.,Şener AKTÜRK,2016,Uluslararası İlişkiler,Koç Üniversitesi
2,Prof. Dr.,Hakan ALTAN,2016,Fizik,Orta Doğu Teknik Üniversitesi
3,Doç. Dr.,İsmail Sengör ALTINGÖVDE,2016,Bilgisayar Üniversitesi,ODTÜ
4,Prof. Dr.,Tınaz Ekim AŞICI,2016,Endüstri Mühendisliği,Boğaziçi Üniversitesi
5,Prof. Dr.,Fatih BÜYÜKSERİN,2016,Biyomedikal,TOBB ETÜ
6,Doç. Dr.,Sinem ÇELİK ONARAN,2016,Matematik,Hacettepe Üniversitesi
7,Doç. Dr.,Cory David DUNN,2016,Moleküler Biyoloji ve Genetik,University of Helsinki (Koç Üniversitesi)
8,Doç. Dr.,Mustafa EMRULLAHOĞLU,2016,Kimya,İzmir Yüksek Teknoloji Enstitüsü
9,Doç. Dr.,Seda AKSOY ESİNOĞLU,2016,Fizik Mühendisliği,İstanbul Teknik Üniversitesi
10,Doç. Dr.,İlke ÖZTEKİN GILLAM,2016,Psikoloji,Florida International Univ.(Koç Üniv.)
11,Dr. Öğr. Üyesi,Serkan İsmail GÖKTUNA,2016,Moleküler Biyoloji ve Genetik,Bilkent Üniversitesi
12,Doç. Dr.,Mehmet GÖNEN,2016,Endüstri Mühendisliği,Koç Üniversitesi
13,Doç.Dr.,Tolga GÖRÜM,2016,Fiziki Coğrafya Jeomorfoloji,İstanbul Üniversitesi
14,Dr. Öğr. Üyesi,Sinan GÜVEN,2016,Tıbbi biyoloji ve Genetik,Dokuz Eylül Üniversitesi
15,Doç. Dr.,Gül GÜNAYDIN,2016,Psikoloji,Sabancı Üniversitesi
16,Dr. Öğr. Üyesi,Mert GÜR,2016,Makine Mühendisliği,İstanbul Teknik Üniversitesi
17,Doç. Dr.,Pınar YILGÖR HURİ,2016,Biyomedikal Mühendisliği,Ankara Üniversitesi
18,Prof. Dr.,Selim KARAHASANOĞLU,2016,Tarih,İstanbul Medeniyet Üniversitesi
19,Doç. Dr.,Elif Nur FIRAT KARALAR,2016,Moleküler Biyoloji ve Genetik,Koç Üniversitesi
20,Dr. Öğr. Üyesi,Sarp KAYA,2016,Kimya,Koç Üniversitesi
21,Dr. Öğr. Üyesi,Bilal Ersen KERMAN,2016,Histoloji ve Embriyoloji,İstanbul Medipol Üniversitesi
22,Dr. Öğr.Üyesi,Özgür KOLÇAK,2016,Tarih,İstanbul Üniversitesi
23,Doç. Dr.,Nathan Allan LACK,2016,Farmakoloji,Koç Üniversitesi
24,Prof. Dr.,Sefer Bora LİŞESİVDİN,2016,Fizik,Gazi Üniversitesi
25,Prof. Dr.,Devrim PESEN OKVUR,2016,Moleküler Biyoloji ve Genetik,İzmir Yüksek Teknoloji Enstitüsü
26,Doç. Dr.,Hatice Güneş ÖZHAN,2016,Biyotıp ve Genom,Dokuz Eylül Üniversitesi
27,Doç. Dr.,Mustafa Serdar ÖNSES,2016,Malzeme Bilimi Mühendisliği,Erciyes Üniversitesi
28,Prof. Dr.,İmren HATAY PATIR,2016,Kimya,Selçuk Üniversitesi
29,Prof. Dr.,Mustafa Kemal SEZGİNTÜRK,2016,Kimya,Çanakkale 18 Mart Üniversitesi
30,Doç. Dr.,Alper UZUN,2016,Kimya ve Biyoloji Mühendisliği,Koç Üniversitesi
31,Prof. Dr.,Sadık YAZAR,2016,Türk Dili ve Edebiyatı,İstanbul Medeniyet Üniversitesi
1,Doç. Dr.,Belgin Şan AKÇA,2015,Uluslararası İlişkiler,Koç Üniversitesi
2,Doç. Dr.,Selim AKSOY,2015,Bilgisayar Mühendisliği,Bilkent Üniversitesi
3,Prof. Dr.,Fatih ALGI,2015,Biyoteknoloji ve Mol. Biyoloji,Aksaray Üniversitesi
4,Doç. Dr.,Gizem ARIKAN,2015,Uluslararası İlişkiler,Özyeğin Üniversitesi
5,Doç. Dr.,Abdurrahman ATÇIL,2015,Tarih,Sabancı Üniversitesi
6,Prof. Dr.,Fuat BALCI,2015,Psikoloji,Koç Üniversitesi
7,Prof. Dr.,Uğur BOZKAYA,2015,Teorik Kimya,Hacettepe Üniversitesi
8,Doç. Dr.,Tunahan ÇAKIR,2015,Biyomühendislik,Gebze Teknik Üniversitesi
9,Dr.,Çağlar ÇEKİÇ,2015,Moleküler Biyoloji ve Genetik,Novartis (Bilkent Üniv.)
10,Dr. Öğr. Üyesi,Muhammed Talha ÇİÇEK,2015,Tarih,İstanbul Medeniyet Üniversitesi
11,Prof. Dr.,Sinem ÇÖLERİ,2015,Elektrik-Elektronik Mühendisliği,Koç Üniversitesi
12,Doç. Dr.,Tolga ÇUKUR,2015,Elektrik-Elektronik Mühendisliği,Bilkent Üniversitesi
13,Doç. Dr.,Yavuz DEDE,2015,Kimya Bölümü,Gazi Üniversitesi
14,Doç. Dr.,Fabienne DUMOULİN,2015,Kimya Bölümü,Acıbadem Mehmet Ali Aydınlar Üniv.
15,Doç. Dr.,Engin DURGUN,2015,Malzeme Bil. ve Nanoteknoloji,Bilkent Üniversitesi UNAM
16,Dr. Öğr. Üyesi,Özgür ERGÜL,2015,Elektrik-Elektronik Mühendisliği,Gazi Üniversitesi
17,Doç. Dr.,Şükran Gülin EVİNÇ,2015,Psikoloji / Tıp Fak.,Hacettepe Üniversitesi
18,Doç. Dr.,Çiğdem GÜNDÜZ DEMİR,2015,Bilgisayar Mühendisliği,Koç Üniversitesi
19,Prof. Dr.,Bahar GÜNTEKİN,2015,Biyofizik,İstanbul Medipol Üniversitesi
20,Prof. Dr.,Mehmet GÜRDAL,2015,Matematik,Süleyman Demirel Üniversitesi
21,Prof. Dr.,Emre Onur KAHYA,2015,Fizik Müh.,İstanbul Teknik Üniversitesi
22,Dr.,Mustafa KÖKSAL,2015,Moleküler Biyoloji ve Genetik,İzmir Yüksek Teknoloji Enstitüsü
23,Doç. Dr.,Filiz KURALAY,2015,Kimya,Hacettepe Üniversitesi
24,Prof. Dr.,Şaban NAZLIOĞLU,2015,Ekonometri,Pamukkale Üniversitesi
25,Doç. Dr.,Sedat NİZAMOĞLU,2015,Elektrik-Elektronik Mühendisliği,Koç Üniversitesi
26,Prof. Dr.,Dilek ODACI DEMİRKOL,2015,Biyokimya,Ege Üniversitesi
27,Doç. Dr.,Tevfik Tamer ÖNDER,2015,Kök Hücre Biyolojisi,Koç Üniversitesi
28,Doç. Dr.,Şükrü Sadık ÖNER,2015,Farmakoloji,İstanbul Medeniyet Üniversitesi
29,Prof. Dr.,Nuri ÖZTÜRK,2015,Moleküler Biyoloji ve Genetik,Gebze Teknik Üniversitesi
30,Doç. Dr.,Emine Ülkü SARITAŞ ÇUKUR,2015,Elektrik-Elektronik Mühendisliği,Bilkent Üniversitesi
31,Doç. Dr.,Mehmet SOMEL,2015,Biyoloji,ODTÜ
32,Doç. Dr.,Didem OKUTMAN TAŞ,2015,Çevre Mühendisliği / Çevre Teknolojileri,İstanbul Teknik Üniversitesi
33,Prof. Dr.,Hakan USTA,2015,Malzeme Bil. ve Nanoteknoloji,Abdullah Gül Üniversitesi
34,Doç. Dr.,Ahmet UYSAL,2015,Sosyal Psikoloji,Riot Games (ODTÜ )
35,Doç. Dr.,Mehmet ÜNLÜ,2015,Elektrik-Elektronik Mühendisliği,TOBB Ekonomi ve Teknoloji Üniversitesi
36,Prof. Dr.,Yasin ÜST,2015,Gemi İnşaatı ve Denizcilik,Yıldız Teknik Üniversitesi
37,Prof. Dr.,Ali Rıza YILDIZ,2015,Makine Mühendisliği,Bursa Uludağ Üniversitesi
38,Doç. Dr.,Recep ZAN,2015,Fizik,Niğde Ömer Halisdemir Üniversitesi
1,Prof.Dr.,Özgür ANIL,2014,İnşaat Mühendisliği / Yapı,Gazi Üniversitesi
2,Prof. Dr .,R. Burcu ÇAKIRLI MUTLU,2014,Nükleer Fizik,İstanbul Üniversitesi
3,Prof.Dr.,Çiğdem Kentmen ÇİN,2014,Siyaset Bilimi,İzmir Ekonomi Üniversitesi
4,Prof.Dr.,Cengiz ERİŞEN,2014,Siyaset Bilimi,Yeditepe Üniversitesi
5,Doç.Dr.,Ali Cafer GÜRBÜZ,2014,Elektrik/Elektronik Mühendisliği,TOBB ETÜ
6,Prof.Dr.,Eren İNCİ,2014,Ekonomi,Sabancı Üniversitesi
7,Doç.Dr.,Özgecan KOÇAK,2014,Yönetim ve Organizasyon,Emory University (Sabancı Üniversitesi)
8,Doç.Dr.,Önder METİN,2014,Kimya,Koç Üniversitesi
9,Dr.,Ali Kemal OKYAY,2014,Elektrik/Elektronik Mühendisliği,Bilkent Üniversitesi
10,Doç. Dr.,Ortaç ONMUŞ,2014,Biyoloji / Zooloji,Ege Üniversitesi
11,Dr. Öğr. Üyesi,Bülend ORTAÇ,2014,Malzeme Bilim ve Nanoteknoloji,Bilkent Üniversitesi UNAM
12,Prof.Dr.,Cem SEVİK,2014,Fizik,Eskişehir Teknik Üniversitesi
13,Dr. Öğr. Üyesi,Özgür ŞAHİN,2014,Kanser Sistem Biyolojisi,Bilkent Üniversitesi
14,Dr. Öğr. Üyesi,Urartu Özgür Şafak ŞEKER,2014,Biyomühendislik,Bilkent Üniversitesi UNAM
15,Prof. Dr.,Giovanni VOLPE,2014,Fizik,University of Gottenburg (Bilkent Üniv.)
1,Prof. Dr.,Akın AKDAĞ,2013,Organik Kimya,ODTÜ
2,Prof. Dr.,Ebru Menşur ALKOY,2013,Mühendislik ve Doğa Bilimleri,Gebze Teknik Üniversitesi
3,Doç. Dr.,Deniz ATASOY,2013,Fizyoloji ve Sinirbilim,İstanbul Medipol Üniversitesi
4,Doç. Dr.,Mehmet Z. BAYKARA,2013,Nanoteknoloji ve Malzeme Bilimi,University of California (Bilkent Üniv.)
5,Prof.Dr.,Elif ÇADIRCI,2013,Eczacılık / Farmakoloji,Atatürk Üniversitesi
6,Doç. Dr.,Hümeyra ÇAĞLAYAN,2013,Elektrik- Elektronik Mühendisliği,Tampere University (Abdullah Gül Üniv.)
7,Doç.Dr.,Fatih DANIŞMAN,2013,Fiziko-Kimya Kimyasal Fizik,ODTÜ
8,Prof.Dr.,Mustafa M. DEMİR,2013,Malzeme Bilimi ve Mühendisliği,İzmir Yüksek Teknoloji Enstitüsü
9,Doç.Dr.,Gökhan DEMİREL,2013,Kimya-Malzeme Bilimi,Gazi Üniversitesi
10,Prof. Dr.,Şule Erten ELA,2013,"Kimya, Enerji",Ege Üniversitesi
11,Prof.Dr.,Ahmet Evren ERGİNAL,2013,Coğrafya,Çanakkale 18 Mart Üniversitesi
12,Prof. Dr.,Sinan GEZİCİ,2013,Elektrik- Elektronik Mühendisliği,Bilkent Üniversitesi
13,Doç. Dr.,Serdar GÖKTEPE,2013,Hesaplamalı Katı Cisimler Mekaniği,ODTÜ
14,Prof. Dr.,V. Çağrı GÜNGÖR,2013,Bilgisayar Mühendisliği,Abdullah Gül Üniversitesi
15,Prof.Dr.,Ü.Şebnem HARPUT,2013,Eczacılık / Farmakognozi,Hacettepe Üniversitesi
16,Prof. Dr.,Müjgan İNÖZÜ,2013,Psikoloji,Abant İzzet Baysal Üniversitesi
17,Prof.Dr.,Senar Aydın ÖZCAN,2013,Çevre Mühendisliği / Çevre Teknolojileri,Konya Necmettin Erbakan Üniversitesi
18,Prof. Dr.,Türker ÖZKAN,2013,Psikoloji,ODTÜ
19,Doç. Dr.,Deniz SEZER,2013,Hesaplamalı Biyofizik /Teorik Fiziksel Kimya,University of Düsseldorf (Sabancı Üniv)
20,Prof. Dr.,B. K. Onur TAŞ,2013,Ekonomi,TOBB ETÜ
21,Prof. Dr.,İsmail TURAN,2013,Fizik,ODTÜ
22,Dr. Öğr. Üyesi,Özgün ÜNLÜ,2013,Matematik,Bilkent Üniversitesi
23,Doç. Dr.,Turgay ÜNVER,2013,Moleküler Biyoloji,Çankırı Karatekin Üniversitesi
24,Doç. Dr.,Hüseyin Çağatay YALÇIN,2013,Biyomedikal Mühendisliği,Qatar University (Doğuş Üniversitesi)
25,Prof. Dr.,Arda D. YALÇINKAYA,2013,Elektrik- Elektronik Müh,Boğaziçi Üniversitesi
26,Prof.Dr.,Mehmet ZAHMAKIRAN,2013,Kimya / Anorganik Kimya,Van Yüzüncü Yıl Üniversitesi
1,Prof. Dr.,Ethem Murat ARSAVA,2012,Tıp/Nöroloji,Hacettepe Üniversitesi
2,Doç. Dr.,Reşat BAYER,2012,Uluslararası İlişkiler,Koç Üniversitesi
3,Prof. Dr.,Barış BİNİCİ,2012,İnşaat Mühendisliği,ODTÜ
4,Doç. Dr.,Özgür BİRER,2012,Kimya,ASELSAN
5,Doç. Dr.,Kazım BÜYÜKBODUK,2012,Matematik,Koç Üniversitesi
6,Doç. Dr.,Fevzi Çakmak CEBECİ,2012,Malzeme Bilimi ve Mühendisliği,Sabancı Üniversitesi
7,Doç. Dr.,Murat ÇOKOL,2012,Biyolojik Bilimler/Biyomühendislik,Axella (Sabancı Üniversitesi)
8,Prof. Dr.,Katja DOERSCHNER,2012,Psikoloji,Bilkent Ünversitesi
9,Prof. Dr.,Ayhan Kürşat ERBAŞ,2012,Eğitim Bilimleri,ODTÜ
10,Dr. Öğr. Üyesi,Ebru ERBAY,2012,Moleküler Biyoloji ve Genetik,Bilkent Ünversitesi
11,Prof. Dr.,Seda ERTAÇ GÜLER,2012,Ekonomi,Koç Üniversitesi
12,Prof. Dr.,Hakan FERHATOSMANOĞLU,2012,Bilgisayar Mühendisliği,University of Warwick (Bilkent Üniv)
13,Doç. Dr.,Işın GÜLER,2012,Yönetim Bilimleri,University of North Carolina (Sabancı Üniv)
14,Doç. Dr.,Gözde İNCE,2012,Mühendislik ve Doğa Bilimleri,Sabancı Üniversitesi
15,Yrd. Doç. Dr.,Gülayşe İNCE DUNN,2012,Moleküler Biyoloji ve Genetik,University of Helsinki (Koç Üniversitesi)
16,Doç. Dr.,Aida JUST,2012,Siyaset Bilimleri,Bilkent Ünversitesi
17,Prof. Dr.,Seda KESKİN AVCI,2012,Kimya ve Biyoloji Mühendisliği,Koç Üniversitesi
18,Prof. Dr.,Dilek Funda KURTULUŞ,2012,Havacılık ve Uzay Mühendisliği,ODTÜ
19,Prof. Dr.,Murat MANGUOĞLU,2012,Bilgisayar Mühendisliği,ODTÜ
20,Dr. Öğr. Üyesi,Ersin Emre ÖREN,2012,Biyomedikal Mühendisliği,TOBB ETÜ
21,Doç. Dr.,Nurhan ÖZLÜ SICAKKAN,2012,Moleküler Biyoloji ve Genetik,Koç Üniversitesi
22,Doç. Dr.,Mehmet SAYAR,2012,Makine Mühendisliği,Koç Üniversitesi
23,Doç. Dr.,Tevfik Metin SEZGİN,2012,Bilgisayar Mühendisliği,Koç Üniversitesi
24,Prof. Dr.,Afsun ŞAHİN,2012,Tıp/Göz Hastalıkları,Koç Üniversitesi
25,Prof. Dr.,Mustafa ŞAHMARAN,2012,İnşaat Mühendisliği,Hacettepe Üniversitesi
26,Doç. Dr.,Ayşe Begüm TEKİNAY,2012,Malzeme Bilimi ve Nanoteknoloji,Bilkent Ünversitesi
27,Dr.,Erdal TOPRAK,2012,Biyofizik,UT Southwestern Medical Center (Sabancı Üniv)
28,Doç. Dr.,Tamer UYAR,2012,Malzeme Bilimi ve Nanoteknoloji,Cornell University (Bilkent Üniv)
1,Doç. Dr.,İhsan İlker AYTÜRK,2011,Siyaset Bilimi,Bilkent Üniversitesi
2,Prof. Dr.,Mustafa Tamer AYVAZ,2011,İnşaat Mühendisliği,Pamukkale Üniversitesi
3,Prof. Dr.,Sreeparna BANERJEE,2011,Biyoloji,ODTÜ
4,Doç. Dr.,Lemi BARUH,2011,İletişim/Reklamcılık,Koç Üniversitesi
5,Prof. Dr.,Barış BAYRAM,2011,Elektrik-Elektronik Mühendisliği,ODTÜ
6,Doç. Dr.,Şevki Koray DURAK,2011,Tarih,Boğaziçi Üniversitesi
7,Yrd. Doç. Dr.,Mustafa Özgür GÜLER,2011,Nanoteknoloji,The University of Chicago (Bilkent Üniv)
8,Prof. Dr.,Tuncay HAZIROLAN,2011,Tıp/Radyoloji,Hacettepe Üniversitesi
9,Doç. Dr.,Menderes IŞKIN,2011,Fizik,Koç Üniversitesi
10,Prof. Dr.,Muşturay KARÇAALTINCABA,2011,Tıp/Radyoloji,Hacettepe Üniversitesi
